BRANCHES,RELAXS,ACT_NDS,DEPTH,BEST_INT_OBJ,BEST_RELAX_OBJ,REL_GAP(%),TIME
468,497,315,22,-8.6299e+03,-8.6350e+03,0.06,16.0
563,573,410,34,-8.6471e+03,-8.6509e+03,0.04,12.3
566,538,81,28,-1.0595e+04,-1.0601e+04,0.06,24.5
514,419,49,18,-1.1295e+04,-1.1306e+04,0.09,14.8
624,508,111,92,-9.8610e+03,-9.8635e+03,0.03,15.2
1058,792,399,15,-7.5933e+03,-7.5933e+03,0.00e+00,14.6
757,501,96,30,-5.3306e+03,-5.3306e+03,0.00e+00,11.6
1390,1237,115,27,-2.090e+03,-2.0983e+03,0.39,22.7
1447,906,16,42,-1.8553e+03,-1.8650e+03,0.52,18.3
1210,941,89,56,-4.8906e+03,-4.9006e+03,0.21,23.8
633,635,372,13,-7.2982e+03,-7.3034e+03,0.07,15.3
